Food Name,Food Category,Nutrient,Amount per 100g,Safe Limit,Toxicity Limit,Unit,Associated NCD
Green Beans,Legumes,Omega-3,3.24,3.0,5,g,Blood Clot Issues
Green Beans,Legumes,Sodium,1160.36,2300.0,3500,mg,Hypertension
Green Beans,Legumes,Selenium,24.82,55.0,400,mcg,Selenosis
Green Beans,Legumes,Vitamin B12,0.5,2.4,500,mcg,Neurological Issues
Green Beans,Legumes,Sugar,54.19,50.0,100,g,Diabetes
Green Beans,Legumes,Vitamin A,1676.16,3000.0,10000,IU,Liver Toxicity
Green Beans,Legumes,Manganese,1.67,2.3,11,mg,Neurological Problems
Green Beans,Legumes,Cholesterol,269.59,300.0,500,mg,Heart Disease
Green Beans,Legumes,Fiber,30.61,30.0,50,g,Digestive Issues
Green Beans,Legumes,Saturated Fat,27.49,20.0,50,g,Heart Disease
Green Tea,Beverages & Others,Zinc,7.16,11.0,40,mg,Immune Dysfunction
Green Tea,Beverages & Others,Vitamin D,4085.79,4000.0,10000,IU,Toxicity Symptoms
Green Tea,Beverages & Others,Vitamin B12,0.99,2.4,500,mcg,Neurological Issues
Green Tea,Beverages & Others,Iron,12.16,18.0,45,mg,Liver Damage
Green Tea,Beverages & Others,Fiber,12.79,30.0,50,g,Digestive Issues
Green Tea,Beverages & Others,Vitamin K,52.14,120.0,500,mcg,Blood Clotting Issues
Green Tea,Beverages & Others,Sodium,3374.55,2300.0,3500,mg,Hypertension
Green Tea,Beverages & Others,Omega-3,3.28,3.0,5,g,Blood Clot Issues
Green Tea,Beverages & Others,Sugar,66.83,50.0,100,g,Diabetes
Guava,Fruit,Omega-3,3.84,3.0,5,g,Blood Clot Issues
Guava,Fruit,Sodium,2710.21,2300.0,3500,mg,Hypertension
Guava,Fruit,Vitamin D,4923.29,4000.0,10000,IU,Toxicity Symptoms
Guava,Fruit,Zinc,11.07,11.0,40,mg,Immune Dysfunction
Guava,Fruit,Cholesterol,394.88,300.0,500,mg,Heart Disease
Guava,Fruit,Sugar,73.99,50.0,100,g,Diabetes
Guava,Fruit,Vitamin B12,3.37,2.4,500,mcg,Neurological Issues
Guava,Fruit,Fat,94.95,70.0,100,g,Obesity
Guava,Fruit,Protein,23.74,50.0,200,g,Kidney Damage
Guava,Fruit,Vitamin C,74.01,90.0,2000,mg,Gastrointestinal Issues
Hazelnuts,Nuts & Seeds,Vitamin B6,1.57,1.3,100,mg,Nerve Damage
Hazelnuts,Nuts & Seeds,Vitamin A,3224.73,3000.0,10000,IU,Liver Toxicity
Hazelnuts,Nuts & Seeds,Manganese,3.32,2.3,11,mg,Neurological Problems
Hazelnuts,Nuts & Seeds,Folic Acid,511.05,400.0,1000,mcg,Neurological Issues
Hazelnuts,Nuts & Seeds,Cholesterol,402.57,300.0,500,mg,Heart Disease
Hazelnuts,Nuts & Seeds,Vitamin B12,0.63,2.4,500,mcg,Neurological Issues
Hazelnuts,Nuts & Seeds,Fat,88.65,70.0,100,g,Obesity
Hazelnuts,Nuts & Seeds,Vitamin D,1132.85,4000.0,10000,IU,Toxicity Symptoms
Hazelnuts,Nuts & Seeds,Magnesium,458.06,400.0,1000,mg,Nerve Damage
Hazelnuts,Nuts & Seeds,Carbohydrates,331.16,250.0,400,g,Obesity
Hazelnuts,Nuts & Seeds,Selenium,67.2,55.0,400,mcg,Selenosis
Hazelnuts,Nuts & Seeds,Copper,0.51,0.9,10,mg,Liver Damage
Honey,Beverages & Others,Potassium,994.93,3500.0,4700,mg,Hyperkalemia
Honey,Beverages & Others,Folic Acid,403.8,400.0,1000,mcg,Neurological Issues
Honey,Beverages & Others,Vitamin B6,0.39,1.3,100,mg,Nerve Damage
Honey,Beverages & Others,Vitamin K,64.55,120.0,500,mcg,Blood Clotting Issues
Honey,Beverages & Others,Zinc,13.16,11.0,40,mg,Immune Dysfunction
Honey,Beverages & Others,Magnesium,96.22,400.0,1000,mg,Nerve Damage
Honey,Beverages & Others,Protein,57.51,50.0,200,g,Kidney Damage
Honey,Beverages & Others,Vitamin A,1844.6,3000.0,10000,IU,Liver Toxicity
Kale,Vegetable,Fiber,17.55,30.0,50,g,Digestive Issues
Kale,Vegetable,Copper,0.9,0.9,10,mg,Liver Damage
Kale,Vegetable,Sodium,3057.72,2300.0,3500,mg,Hypertension
Kale,Vegetable,Selenium,80.79,55.0,400,mcg,Selenosis
Kale,Vegetable,Phosphorus,867.76,700.0,4000,mg,Bone Loss
Kale,Vegetable,Vitamin D,2106.3,4000.0,10000,IU,Toxicity Symptoms
Kale,Vegetable,Vitamin K,114.57,120.0,500,mcg,Blood Clotting Issues
Kale,Vegetable,Protein,30.16,50.0,200,g,Kidney Damage
Kale,Vegetable,Saturated Fat,10.68,20.0,50,g,Heart Disease
Kidney Beans,Legumes,Potassium,724.03,3500.0,4700,mg,Hyperkalemia
Kidney Beans,Legumes,Magnesium,369.14,400.0,1000,mg,Nerve Damage
Kidney Beans,Legumes,Vitamin A,2957.6,3000.0,10000,IU,Liver Toxicity
Kidney Beans,Legumes,Cholesterol,262.32,300.0,500,mg,Heart Disease
Kidney Beans,Legumes,Vitamin K,161.15,120.0,500,mcg,Blood Clotting Issues
Kidney Beans,Legumes,Fat,58.89,70.0,100,g,Obesity
Kidney Beans,Legumes,Vitamin E,12.49,15.0,1000,mg,Bleeding Issues
Kidney Beans,Legumes,Iron,15.94,18.0,45,mg,Liver Damage
Kidney Beans,Legumes,Vitamin B6,0.53,1.3,100,mg,Nerve Damage
Kiwi,Fruit,Sodium,1093.28,2300.0,3500,mg,Hypertension
Kiwi,Fruit,Saturated Fat,13.19,20.0,50,g,Heart Disease
Kiwi,Fruit,Calcium,1224.11,1000.0,2500,mg,Kidney Stones
Kiwi,Fruit,Copper,0.36,0.9,10,mg,Liver Damage
Kiwi,Fruit,Vitamin B6,0.92,1.3,100,mg,Nerve Damage
Kiwi,Fruit,Fat,81.94,70.0,100,g,Obesity
Kiwi,Fruit,Carbohydrates,310.35,250.0,400,g,Obesity
Kiwi,Fruit,Vitamin B12,3.35,2.4,500,mcg,Neurological Issues
Kiwi,Fruit,Magnesium,560.48,400.0,1000,mg,Nerve Damage
Kiwi,Fruit,Phosphorus,269.67,700.0,4000,mg,Bone Loss
Kiwi,Fruit,Iron,14.18,18.0,45,mg,Liver Damage
Kiwi,Fruit,Vitamin K,58.82,120.0,500,mcg,Blood Clotting Issues
Lamb,Meat,Vitamin E,10.3,15.0,1000,mg,Bleeding Issues
Lamb,Meat,Iron,23.5,18.0,45,mg,Liver Damage
Lamb,Meat,Fat,69.64,70.0,100,g,Obesity
Lamb,Meat,Fiber,38.02,30.0,50,g,Digestive Issues
Lamb,Meat,Cholesterol,279.75,300.0,500,mg,Heart Disease
Lamb,Meat,Vitamin C,76.62,90.0,2000,mg,Gastrointestinal Issues
Lamb,Meat,Sodium,1896.03,2300.0,3500,mg,Hypertension
Lamb,Meat,Potassium,2873.06,3500.0,4700,mg,Hyperkalemia
Lamb,Meat,Saturated Fat,17.78,20.0,50,g,Heart Disease
Lamb,Meat,Sugar,51.21,50.0,100,g,Diabetes
Lentils,Legumes,Vitamin K,39.04,120.0,500,mcg,Blood Clotting Issues
Lentils,Legumes,Sodium,3223.24,2300.0,3500,mg,Hypertension
Lentils,Legumes,Iron,13.96,18.0,45,mg,Liver Damage
Lentils,Legumes,Vitamin B12,0.82,2.4,500,mcg,Neurological Issues
Lentils,Legumes,Omega-3,1.04,3.0,5,g,Blood Clot Issues
Lentils,Legumes,Protein,68.9,50.0,200,g,Kidney Damage
Lettuce,Vegetable,Vitamin E,15.8,15.0,1000,mg,Bleeding Issues
Lettuce,Vegetable,Vitamin B6,1.43,1.3,100,mg,Nerve Damage
Lettuce,Vegetable,Vitamin K,111.93,120.0,500,mcg,Blood Clotting Issues
Lettuce,Vegetable,Zinc,3.14,11.0,40,mg,Immune Dysfunction
Lettuce,Vegetable,Protein,32.73,50.0,200,g,Kidney Damage
Lettuce,Vegetable,Fat,93.3,70.0,100,g,Obesity
Lobster,Fish & Seafood,Selenium,16.12,55.0,400,mcg,Selenosis
Lobster,Fish & Seafood,Protein,31.32,50.0,200,g,Kidney Damage
Lobster,Fish & Seafood,Vitamin A,3281.2,3000.0,10000,IU,Liver Toxicity
Lobster,Fish & Seafood,Vitamin D,4666.63,4000.0,10000,IU,Toxicity Symptoms
Lobster,Fish & Seafood,Folic Acid,327.04,400.0,1000,mcg,Neurological Issues
Lobster,Fish & Seafood,Cholesterol,229.41,300.0,500,mg,Heart Disease
Lobster,Fish & Seafood,Calcium,528.24,1000.0,2500,mg,Kidney Stones
Lychee,Fruit,Fiber,10.12,30.0,50,g,Digestive Issues
Lychee,Fruit,Omega-3,2.8,3.0,5,g,Blood Clot Issues
Lychee,Fruit,Zinc,10.46,11.0,40,mg,Immune Dysfunction
Lychee,Fruit,Vitamin D,4081.41,4000.0,10000,IU,Toxicity Symptoms
Lychee,Fruit,Vitamin B12,3.15,2.4,500,mcg,Neurological Issues
Lychee,Fruit,Selenium,54.76,55.0,400,mcg,Selenosis
Lychee,Fruit,Fat,73.99,70.0,100,g,Obesity
Lychee,Fruit,Manganese,2.11,2.3,11,mg,Neurological Problems
Mackerel,Fish & Seafood,Vitamin B6,1.58,1.3,100,mg,Nerve Damage
Mackerel,Fish & Seafood,Iron,16.96,18.0,45,mg,Liver Damage
Mackerel,Fish & Seafood,Manganese,2.98,2.3,11,mg,Neurological Problems
Mackerel,Fish & Seafood,Potassium,3306.66,3500.0,4700,mg,Hyperkalemia
Mackerel,Fish & Seafood,Sugar,53.93,50.0,100,g,Diabetes
Mackerel,Fish & Seafood,Vitamin D,3829.93,4000.0,10000,IU,Toxicity Symptoms
Mackerel,Fish & Seafood,Cholesterol,122.08,300.0,500,mg,Heart Disease
Mackerel,Fish & Seafood,Selenium,19.29,55.0,400,mcg,Selenosis
Mackerel,Fish & Seafood,Omega-3,1.84,3.0,5,g,Blood Clot Issues
Mackerel,Fish & Seafood,Vitamin C,113.38,90.0,2000,mg,Gastrointestinal Issues
Mackerel,Fish & Seafood,Vitamin B12,2.16,2.4,500,mcg,Neurological Issues
Mackerel,Fish & Seafood,Carbohydrates,192.81,250.0,400,g,Obesity
Mango,Fruit,Iron,17.49,18.0,45,mg,Liver Damage
Mango,Fruit,Vitamin A,3441.95,3000.0,10000,IU,Liver Toxicity
Mango,Fruit,Vitamin K,119.5,120.0,500,mcg,Blood Clotting Issues
Mango,Fruit,Vitamin D,3433.09,4000.0,10000,IU,Toxicity Symptoms
Mango,Fruit,Sugar,16.0,50.0,100,g,Diabetes
Mango,Fruit,Vitamin C,20.42,90.0,2000,mg,Gastrointestinal Issues
Mango,Fruit,Cholesterol,391.82,300.0,500,mg,Heart Disease
Mango,Fruit,Fat,85.53,70.0,100,g,Obesity
Milk,Dairy,Manganese,0.71,2.3,11,mg,Neurological Problems
Milk,Dairy,Vitamin C,42.82,90.0,2000,mg,Gastrointestinal Issues
Milk,Dairy,Phosphorus,207.08,700.0,4000,mg,Bone Loss
Milk,Dairy,Iron,9.25,18.0,45,mg,Liver Damage
Milk,Dairy,Fiber,34.32,30.0,50,g,Digestive Issues
Milk,Dairy,Sugar,35.34,50.0,100,g,Diabetes
Milk,Dairy,Vitamin B12,3.11,2.4,500,mcg,Neurological Issues
Milk,Dairy,Protein,58.95,50.0,200,g,Kidney Damage
Milk,Dairy,Saturated Fat,27.66,20.0,50,g,Heart Disease
Milk,Dairy,Vitamin D,1468.04,4000.0,10000,IU,Toxicity Symptoms
Millet,Grains,Protein,14.06,50.0,200,g,Kidney Damage
Millet,Grains,Selenium,45.98,55.0,400,mcg,Selenosis
Millet,Grains,Zinc,6.41,11.0,40,mg,Immune Dysfunction
Millet,Grains,Folic Acid,343.97,400.0,1000,mcg,Neurological Issues
Millet,Grains,Vitamin B12,0.68,2.4,500,mcg,Neurological Issues
Millet,Grains,Magnesium,278.65,400.0,1000,mg,Nerve Damage
Millet,Grains,Cholesterol,395.21,300.0,500,mg,Heart Disease
Millet,Grains,Potassium,1944.92,3500.0,4700,mg,Hyperkalemia
Molasses,Beverages & Others,Calcium,360.75,1000.0,2500,mg,Kidney Stones
Molasses,Beverages & Others,Vitamin D,1166.95,4000.0,10000,IU,Toxicity Symptoms
Molasses,Beverages & Others,Manganese,2.05,2.3,11,mg,Neurological Problems
Molasses,Beverages & Others,Cholesterol,355.81,300.0,500,mg,Heart Disease
Molasses,Beverages & Others,Fiber,43.34,30.0,50,g,Digestive Issues
Molasses,Beverages & Others,Selenium,54.82,55.0,400,mcg,Selenosis
Mushrooms,Vegetable,Phosphorus,438.14,700.0,4000,mg,Bone Loss
Mushrooms,Vegetable,Carbohydrates,268.81,250.0,400,g,Obesity
Mushrooms,Vegetable,Vitamin B12,1.81,2.4,500,mcg,Neurological Issues
Mushrooms,Vegetable,Omega-3,1.09,3.0,5,g,Blood Clot Issues
Mushrooms,Vegetable,Fat,64.15,70.0,100,g,Obesity
Mushrooms,Vegetable,Vitamin A,2423.07,3000.0,10000,IU,Liver Toxicity
Mushrooms,Vegetable,Sodium,495.15,2300.0,3500,mg,Hypertension
Mushrooms,Vegetable,Vitamin E,20.93,15.0,1000,mg,Bleeding Issues
Oats,Grains,Selenium,30.95,55.0,400,mcg,Selenosis
Oats,Grains,Iron,21.71,18.0,45,mg,Liver Damage
Oats,Grains,Cholesterol,433.46,300.0,500,mg,Heart Disease
Oats,Grains,Saturated Fat,15.63,20.0,50,g,Heart Disease
Oats,Grains,Vitamin K,105.08,120.0,500,mcg,Blood Clotting Issues
Oats,Grains,Zinc,9.75,11.0,40,mg,Immune Dysfunction
Oats,Grains,Vitamin A,2728.36,3000.0,10000,IU,Liver Toxicity
Oats,Grains,Magnesium,363.83,400.0,1000,mg,Nerve Damage
Oats,Grains,Calcium,614.66,1000.0,2500,mg,Kidney Stones
Oats,Grains,Omega-3,1.32,3.0,5,g,Blood Clot Issues
Oats,Grains,Vitamin B12,2.72,2.4,500,mcg,Neurological Issues
Octopus,Fish & Seafood,Fiber,24.29,30.0,50,g,Digestive Issues
Octopus,Fish & Seafood,Vitamin A,3408.94,3000.0,10000,IU,Liver Toxicity
Octopus,Fish & Seafood,Calcium,949.87,1000.0,2500,mg,Kidney Stones
Octopus,Fish & Seafood,Selenium,81.75,55.0,400,mcg,Selenosis
Octopus,Fish & Seafood,Vitamin D,1179.43,4000.0,10000,IU,Toxicity Symptoms
Octopus,Fish & Seafood,Iron,21.73,18.0,45,mg,Liver Damage
Octopus,Fish & Seafood,Phosphorus,839.66,700.0,4000,mg,Bone Loss
Octopus,Fish & Seafood,Vitamin K,25.73,120.0,500,mcg,Blood Clotting Issues
Octopus,Fish & Seafood,Zinc,13.42,11.0,40,mg,Immune Dysfunction
Octopus,Fish & Seafood,Sodium,2771.14,2300.0,3500,mg,Hypertension
Onion,Vegetable,Calcium,1498.0,1000.0,2500,mg,Kidney Stones
Onion,Vegetable,Vitamin C,110.78,90.0,2000,mg,Gastrointestinal Issues
Onion,Vegetable,Iron,11.49,18.0,45,mg,Liver Damage
Onion,Vegetable,Vitamin B6,1.0,1.3,100,mg,Nerve Damage
Onion,Vegetable,Omega-3,1.65,3.0,5,g,Blood Clot Issues
Onion,Vegetable,Saturated Fat,27.56,20.0,50,g,Heart Disease
Onion,Vegetable,Potassium,2596.15,3500.0,4700,mg,Hyperkalemia
Onion,Vegetable,Vitamin B12,2.94,2.4,500,mcg,Neurological Issues
Orange,Fruit,Copper,1.2,0.9,10,mg,Liver Damage
Orange,Fruit,Vitamin E,15.0,15.0,1000,mg,Bleeding Issues
Orange,Fruit,Vitamin B12,1.5,2.4,500,mcg,Neurological Issues
Orange,Fruit,Folic Acid,245.93,400.0,1000,mcg,Neurological Issues
Orange,Fruit,Fat,89.93,70.0,100,g,Obesity
Orange,Fruit,Vitamin K,44.5,120.0,500,mcg,Blood Clotting Issues
Orange,Fruit,Sugar,41.53,50.0,100,g,Diabetes
Orange,Fruit,Cholesterol,394.33,300.0,500,mg,Heart Disease
Orange,Fruit,Phosphorus,825.03,700.0,4000,mg,Bone Loss
Orange,Fruit,Potassium,1962.09,3500.0,4700,mg,Hyperkalemia
Orange,Fruit,Magnesium,196.57,400.0,1000,mg,Nerve Damage
Orange,Fruit,Iron,4.11,18.0,45,mg,Liver Damage
Orange,Fruit,Vitamin D,3084.44,4000.0,10000,IU,Toxicity Symptoms
Orange,Fruit,Sodium,2078.18,2300.0,3500,mg,Hypertension
Oysters,Fish & Seafood,Vitamin B12,2.03,2.4,500,mcg,Neurological Issues
Oysters,Fish & Seafood,Fiber,27.75,30.0,50,g,Digestive Issues
Oysters,Fish & Seafood,Iron,7.73,18.0,45,mg,Liver Damage
Oysters,Fish & Seafood,Protein,24.24,50.0,200,g,Kidney Damage
Oysters,Fish & Seafood,Potassium,3336.21,3500.0,4700,mg,Hyperkalemia
Oysters,Fish & Seafood,Vitamin E,20.58,15.0,1000,mg,Bleeding Issues
Oysters,Fish & Seafood,Omega-3,3.01,3.0,5,g,Blood Clot Issues
Papaya,Fruit,Fiber,37.47,30.0,50,g,Digestive Issues
Papaya,Fruit,Calcium,311.2,1000.0,2500,mg,Kidney Stones
Papaya,Fruit,Vitamin D,909.34,4000.0,10000,IU,Toxicity Symptoms
Papaya,Fruit,Vitamin E,11.28,15.0,1000,mg,Bleeding Issues
Papaya,Fruit,Copper,0.25,0.9,10,mg,Liver Damage
Papaya,Fruit,Folic Acid,398.79,400.0,1000,mcg,Neurological Issues
Papaya,Fruit,Sodium,1609.58,2300.0,3500,mg,Hypertension
Papaya,Fruit,Manganese,2.55,2.3,11,mg,Neurological Problems
Papaya,Fruit,Vitamin B6,1.34,1.3,100,mg,Nerve Damage
Papaya,Fruit,Zinc,16.43,11.0,40,mg,Immune Dysfunction
Papaya,Fruit,Vitamin B12,2.04,2.4,500,mcg,Neurological Issues
Peanuts,Nuts & Seeds,Fat,35.27,70.0,100,g,Obesity
Peanuts,Nuts & Seeds,Sodium,1163.73,2300.0,3500,mg,Hypertension
Peanuts,Nuts & Seeds,Vitamin B6,0.94,1.3,100,mg,Nerve Damage
Peanuts,Nuts & Seeds,Vitamin B12,1.95,2.4,500,mcg,Neurological Issues
Peanuts,Nuts & Seeds,Fiber,10.62,30.0,50,g,Digestive Issues
Peanuts,Nuts & Seeds,Vitamin E,3.43,15.0,1000,mg,Bleeding Issues
Peanuts,Nuts & Seeds,Potassium,2278.61,3500.0,4700,mg,Hyperkalemia
Peanuts,Nuts & Seeds,Phosphorus,541.73,700.0,4000,mg,Bone Loss
Peanuts,Nuts & Seeds,Folic Acid,453.11,400.0,1000,mcg,Neurological Issues
Peanuts,Nuts & Seeds,Vitamin C,101.39,90.0,2000,mg,Gastrointestinal Issues
Peanuts,Nuts & Seeds,Vitamin A,1843.21,3000.0,10000,IU,Liver Toxicity
Pear,Fruit,Fat,59.03,70.0,100,g,Obesity
Pear,Fruit,Vitamin C,47.57,90.0,2000,mg,Gastrointestinal Issues
Pear,Fruit,Omega-3,1.2,3.0,5,g,Blood Clot Issues
Pear,Fruit,Sugar,17.56,50.0,100,g,Diabetes
Pear,Fruit,Protein,53.37,50.0,200,g,Kidney Damage
Pear,Fruit,Cholesterol,284.96,300.0,500,mg,Heart Disease
Pear,Fruit,Carbohydrates,365.88,250.0,400,g,Obesity
Peas,Vegetable,Vitamin B12,3.41,2.4,500,mcg,Neurological Issues
Peas,Vegetable,Sodium,1088.08,2300.0,3500,mg,Hypertension
Peas,Vegetable,Iron,25.1,18.0,45,mg,Liver Damage
Peas,Vegetable,Carbohydrates,283.03,250.0,400,g,Obesity
Peas,Vegetable,Fat,38.63,70.0,100,g,Obesity
Peas,Vegetable,Vitamin B6,1.14,1.3,100,mg,Nerve Damage
Peas,Vegetable,Vitamin A,1294.38,3000.0,10000,IU,Liver Toxicity
Peas,Vegetable,Vitamin C,79.45,90.0,2000,mg,Gastrointestinal Issues
Peas,Vegetable,Potassium,1451.67,3500.0,4700,mg,Hyperkalemia
Peas,Vegetable,Fiber,41.03,30.0,50,g,Digestive Issues
Peas,Vegetable,Selenium,35.35,55.0,400,mcg,Selenosis
Pineapple,Fruit,Selenium,28.17,55.0,400,mcg,Selenosis
Pineapple,Fruit,Sodium,1049.05,2300.0,3500,mg,Hypertension
Pineapple,Fruit,Copper,0.98,0.9,10,mg,Liver Damage
Pineapple,Fruit,Iron,19.04,18.0,45,mg,Liver Damage
Pineapple,Fruit,Protein,45.37,50.0,200,g,Kidney Damage
Pistachios,Nuts & Seeds,Selenium,49.06,55.0,400,mcg,Selenosis
Pistachios,Nuts & Seeds,Vitamin E,3.62,15.0,1000,mg,Bleeding Issues
Pistachios,Nuts & Seeds,Vitamin D,2042.96,4000.0,10000,IU,Toxicity Symptoms
Pistachios,Nuts & Seeds,Copper,1.04,0.9,10,mg,Liver Damage
Pistachios,Nuts & Seeds,Vitamin B12,0.58,2.4,500,mcg,Neurological Issues
Pistachios,Nuts & Seeds,Protein,62.39,50.0,200,g,Kidney Damage
Pistachios,Nuts & Seeds,Vitamin B6,1.61,1.3,100,mg,Nerve Damage
Pistachios,Nuts & Seeds,Magnesium,277.08,400.0,1000,mg,Nerve Damage
Pistachios,Nuts & Seeds,Carbohydrates,283.54,250.0,400,g,Obesity
Pistachios,Nuts & Seeds,Folic Acid,586.22,400.0,1000,mcg,Neurological Issues
Plum,Fruit,Manganese,1.65,2.3,11,mg,Neurological Problems
Plum,Fruit,Protein,54.89,50.0,200,g,Kidney Damage
Plum,Fruit,Vitamin A,4112.86,3000.0,10000,IU,Liver Toxicity
Plum,Fruit,Vitamin D,3905.98,4000.0,10000,IU,Toxicity Symptoms
Plum,Fruit,Vitamin C,30.11,90.0,2000,mg,Gastrointestinal Issues
Plum,Fruit,Vitamin B12,3.24,2.4,500,mcg,Neurological Issues
Plum,Fruit,Zinc,12.48,11.0,40,mg,Immune Dysfunction
Plum,Fruit,Vitamin B6,0.96,1.3,100,mg,Nerve Damage
Plum,Fruit,Copper,1.06,0.9,10,mg,Liver Damage
Plum,Fruit,Vitamin K,118.06,120.0,500,mcg,Blood Clotting Issues
Plum,Fruit,Folic Acid,539.43,400.0,1000,mcg,Neurological Issues
Plum,Fruit,Phosphorus,470.49,700.0,4000,mg,Bone Loss
Pomegranate,Fruit,Omega-3,1.2,3.0,5,g,Blood Clot Issues
Pomegranate,Fruit,Vitamin A,3681.63,3000.0,10000,IU,Liver Toxicity
Pomegranate,Fruit,Protein,49.77,50.0,200,g,Kidney Damage
Pomegranate,Fruit,Copper,0.22,0.9,10,mg,Liver Damage
Pomegranate,Fruit,Carbohydrates,117.13,250.0,400,g,Obesity
Pomegranate,Fruit,Potassium,3595.37,3500.0,4700,mg,Hyperkalemia
Pomegranate,Fruit,Vitamin C,94.77,90.0,2000,mg,Gastrointestinal Issues
Pomegranate,Fruit,Iron,12.41,18.0,45,mg,Liver Damage
Pomegranate,Fruit,Vitamin D,4487.78,4000.0,10000,IU,Toxicity Symptoms
Pork,Meat,Saturated Fat,15.75,20.0,50,g,Heart Disease
Pork,Meat,Vitamin C,88.65,90.0,2000,mg,Gastrointestinal Issues
Pork,Meat,Vitamin K,116.05,120.0,500,mcg,Blood Clotting Issues
Pork,Meat,Vitamin B12,0.58,2.4,500,mcg,Neurological Issues
Pork,Meat,Magnesium,282.25,400.0,1000,mg,Nerve Damage
Pork,Meat,Sodium,3127.94,2300.0,3500,mg,Hypertension
Pork,Meat,Vitamin A,788.97,3000.0,10000,IU,Liver Toxicity
Pork,Meat,Vitamin B6,1.38,1.3,100,mg,Nerve Damage
Potato,Root & Tubers,Magnesium,355.32,400.0,1000,mg,Nerve Damage
Potato,Root & Tubers,Fiber,8.98,30.0,50,g,Digestive Issues
Potato,Root & Tubers,Protein,70.96,50.0,200,g,Kidney Damage
Potato,Root & Tubers,Vitamin B6,1.13,1.3,100,mg,Nerve Damage
Potato,Root & Tubers,Iron,26.76,18.0,45,mg,Liver Damage
Potato,Root & Tubers,Sodium,2519.79,2300.0,3500,mg,Hypertension
Potato,Root & Tubers,Vitamin C,111.1,90.0,2000,mg,Gastrointestinal Issues
Pumpkin,Vegetable,Vitamin C,39.02,90.0,2000,mg,Gastrointestinal Issues
Pumpkin,Vegetable,Vitamin E,14.45,15.0,1000,mg,Bleeding Issues
Pumpkin,Vegetable,Phosphorus,285.82,700.0,4000,mg,Bone Loss
Pumpkin,Vegetable,Fat,56.83,70.0,100,g,Obesity
Pumpkin,Vegetable,Potassium,3435.58,3500.0,4700,mg,Hyperkalemia
Pumpkin,Vegetable,Selenium,73.6,55.0,400,mcg,Selenosis
Pumpkin,Vegetable,Sugar,32.41,50.0,100,g,Diabetes
Pumpkin,Vegetable,Manganese,3.15,2.3,11,mg,Neurological Problems
Quinoa,Grains,Vitamin C,57.74,90.0,2000,mg,Gastrointestinal Issues
Quinoa,Grains,Selenium,27.54,55.0,400,mcg,Selenosis
Quinoa,Grains,Omega-3,3.45,3.0,5,g,Blood Clot Issues
Quinoa,Grains,Vitamin K,61.27,120.0,500,mcg,Blood Clotting Issues
Quinoa,Grains,Vitamin A,1435.59,3000.0,10000,IU,Liver Toxicity
Quinoa,Grains,Sugar,59.08,50.0,100,g,Diabetes
Quinoa,Grains,Magnesium,428.33,400.0,1000,mg,Nerve Damage
Quinoa,Grains,Cholesterol,143.17,300.0,500,mg,Heart Disease
Quinoa,Grains,Vitamin D,5876.84,4000.0,10000,IU,Toxicity Symptoms
Quinoa,Grains,Potassium,4668.4,3500.0,4700,mg,Hyperkalemia
Quinoa,Grains,Copper,0.8,0.9,10,mg,Liver Damage
Radish,Vegetable,Copper,0.19,0.9,10,mg,Liver Damage
Radish,Vegetable,Potassium,3721.91,3500.0,4700,mg,Hyperkalemia
Radish,Vegetable,Vitamin B6,0.83,1.3,100,mg,Nerve Damage
Radish,Vegetable,Selenium,37.72,55.0,400,mcg,Selenosis
Radish,Vegetable,Vitamin K,153.97,120.0,500,mcg,Blood Clotting Issues
Radish,Vegetable,Saturated Fat,5.8,20.0,50,g,Heart Disease
Radish,Vegetable,Iron,14.57,18.0,45,mg,Liver Damage
Radish,Vegetable,Vitamin D,5321.18,4000.0,10000,IU,Toxicity Symptoms
Radish,Vegetable,Omega-3,1.46,3.0,5,g,Blood Clot Issues
Radish,Vegetable,Calcium,811.32,1000.0,2500,mg,Kidney Stones
Radish,Vegetable,Manganese,2.11,2.3,11,mg,Neurological Problems
Radish,Vegetable,Vitamin C,30.84,90.0,2000,mg,Gastrointestinal Issues
Rye,Grains,Manganese,3.21,2.3,11,mg,Neurological Problems
Rye,Grains,Magnesium,485.33,400.0,1000,mg,Nerve Damage
Rye,Grains,Omega-3,2.41,3.0,5,g,Blood Clot Issues
Rye,Grains,Vitamin B12,2.17,2.4,500,mcg,Neurological Issues
Rye,Grains,Saturated Fat,12.97,20.0,50,g,Heart Disease
Rye,Grains,Sodium,2497.27,2300.0,3500,mg,Hypertension
Rye,Grains,Zinc,10.06,11.0,40,mg,Immune Dysfunction
Rye,Grains,Vitamin K,137.83,120.0,500,mcg,Blood Clotting Issues
Rye,Grains,Carbohydrates,242.56,250.0,400,g,Obesity
Rye,Grains,Vitamin B6,1.69,1.3,100,mg,Nerve Damage
Salmon,Fish & Seafood,Sugar,35.28,50.0,100,g,Diabetes
Salmon,Fish & Seafood,Vitamin K,103.05,120.0,500,mcg,Blood Clotting Issues
Salmon,Fish & Seafood,Carbohydrates,187.75,250.0,400,g,Obesity
Salmon,Fish & Seafood,Phosphorus,852.0,700.0,4000,mg,Bone Loss
Salmon,Fish & Seafood,Cholesterol,311.43,300.0,500,mg,Heart Disease
Salmon,Fish & Seafood,Fat,40.15,70.0,100,g,Obesity
